==========
Args:Namespace(eval_step=-1, evaluate=False, gpu_devices='0', print_freq=10, resume='', save_dir='log', seed=1, start_epoch=0, start_eval=0, use_cpu=False)
==========
['/root/dataset/Market/bounding_box_train', '/root/dataset/Market/bounding_box_test', '/root/dataset/Market/query'],no problem
['/root/dataset/Market/bounding_box_train', '/root/dataset/Market/bounding_box_test', '/root/dataset/Market/query'],no problem
['/root/dataset/Market/bounding_box_train', '/root/dataset/Market/bounding_box_test', '/root/dataset/Market/query'],no problem
Initializing model: ResNet50
Model size: 25.04683M
==> Start training
Epoch: [1][140/404]	Time 0.121 (0.180)	Data 0.001 (0.004)	Loss 6.3183 (6.6676)	
Epoch: [1][141/404]	Time 0.151 (0.180)	Data 0.002 (0.004)	Loss 6.3162 (6.6651)	
Epoch: [1][142/404]	Time 0.120 (0.180)	Data 0.001 (0.004)	Loss 6.3468 (6.6629)	
Epoch: [1][143/404]	Time 0.122 (0.179)	Data 0.001 (0.004)	Loss 6.5617 (6.6622)	
Epoch: [1][144/404]	Time 0.121 (0.179)	Data 0.001 (0.004)	Loss 6.3617 (6.6601)	
Epoch: [1][145/404]	Time 0.122 (0.179)	Data 0.001 (0.003)	Loss 6.3511 (6.6580)	
Epoch: [1][146/404]	Time 0.121 (0.178)	Data 0.001 (0.003)	Loss 6.5491 (6.6572)	
Epoch: [1][147/404]	Time 0.121 (0.178)	Data 0.001 (0.003)	Loss 6.3983 (6.6555)	
Epoch: [1][148/404]	Time 0.121 (0.177)	Data 0.001 (0.003)	Loss 6.2355 (6.6526)	
Epoch: [1][149/404]	Time 0.121 (0.177)	Data 0.001 (0.003)	Loss 6.5457 (6.6519)	
Epoch: [1][150/404]	Time 0.111 (0.177)	Data 0.001 (0.003)	Loss 6.4921 (6.6508)	
Epoch: [1][151/404]	Time 0.122 (0.176)	Data 0.002 (0.003)	Loss 6.6637 (6.6509)	
Epoch: [1][152/404]	Time 0.117 (0.176)	Data 0.001 (0.003)	Loss 6.3689 (6.6491)	
Epoch: [1][153/404]	Time 0.148 (0.176)	Data 0.001 (0.003)	Loss 6.3520 (6.6471)	
Epoch: [1][154/404]	Time 0.119 (0.175)	Data 0.001 (0.003)	Loss 6.4074 (6.6456)	
Epoch: [1][155/404]	Time 0.124 (0.175)	Data 0.001 (0.003)	Loss 6.2202 (6.6428)	
Epoch: [1][156/404]	Time 0.120 (0.175)	Data 0.001 (0.003)	Loss 6.3447 (6.6409)	
Epoch: [1][157/404]	Time 0.122 (0.174)	Data 0.001 (0.003)	Loss 6.4740 (6.6399)	
Epoch: [1][158/404]	Time 0.106 (0.174)	Data 0.002 (0.003)	Loss 6.3729 (6.6382)	
Epoch: [1][159/404]	Time 0.114 (0.174)	Data 0.001 (0.003)	Loss 6.3082 (6.6361)	
Epoch: [1][160/404]	Time 0.120 (0.173)	Data 0.001 (0.003)	Loss 6.4395 (6.6349)	
Epoch: [1][161/404]	Time 0.112 (0.173)	Data 0.001 (0.003)	Loss 6.5284 (6.6342)	
Epoch: [1][162/404]	Time 0.110 (0.172)	Data 0.001 (0.003)	Loss 6.5836 (6.6339)	
Epoch: [1][163/404]	Time 0.114 (0.172)	Data 0.001 (0.003)	Loss 6.3492 (6.6321)	
Epoch: [1][164/404]	Time 0.123 (0.172)	Data 0.001 (0.003)	Loss 6.6092 (6.6320)	
Epoch: [1][165/404]	Time 0.150 (0.172)	Data 0.001 (0.003)	Loss 6.2357 (6.6296)	
Epoch: [1][166/404]	Time 0.118 (0.171)	Data 0.001 (0.003)	Loss 6.2236 (6.6272)	
Epoch: [1][167/404]	Time 0.111 (0.171)	Data 0.001 (0.003)	Loss 6.5005 (6.6264)	
Epoch: [1][168/404]	Time 0.113 (0.171)	Data 0.002 (0.003)	Loss 6.4720 (6.6255)	
Epoch: [1][169/404]	Time 0.113 (0.170)	Data 0.001 (0.003)	Loss 6.5256 (6.6249)	
Epoch: [1][170/404]	Time 0.109 (0.170)	Data 0.001 (0.003)	Loss 6.1765 (6.6223)	
Epoch: [1][171/404]	Time 0.112 (0.170)	Data 0.001 (0.003)	Loss 6.4086 (6.6210)	
Epoch: [1][172/404]	Time 0.113 (0.169)	Data 0.001 (0.003)	Loss 6.1108 (6.6180)	
Epoch: [1][173/404]	Time 0.122 (0.169)	Data 0.001 (0.003)	Loss 6.6789 (6.6184)	
Epoch: [1][174/404]	Time 0.120 (0.169)	Data 0.001 (0.003)	Loss 6.1649 (6.6158)	
Epoch: [1][175/404]	Time 0.122 (0.168)	Data 0.001 (0.003)	Loss 6.3852 (6.6145)	
Epoch: [1][176/404]	Time 0.121 (0.168)	Data 0.001 (0.003)	Loss 6.5016 (6.6138)	
Epoch: [1][177/404]	Time 0.150 (0.168)	Data 0.001 (0.003)	Loss 6.2280 (6.6116)	
Epoch: [1][178/404]	Time 0.122 (0.168)	Data 0.001 (0.003)	Loss 6.4028 (6.6105)	
Epoch: [1][179/404]	Time 0.120 (0.168)	Data 0.001 (0.003)	Loss 6.3925 (6.6093)	
Epoch: [1][180/404]	Time 0.119 (0.167)	Data 0.001 (0.003)	Loss 6.3669 (6.6079)	
Epoch: [1][181/404]	Time 0.119 (0.167)	Data 0.001 (0.003)	Loss 6.6027 (6.6079)	
Epoch: [1][182/404]	Time 0.121 (0.167)	Data 0.001 (0.003)	Loss 6.4593 (6.6071)	
Epoch: [1][183/404]	Time 0.123 (0.166)	Data 0.001 (0.003)	Loss 6.3998 (6.6059)	
Epoch: [1][184/404]	Time 0.122 (0.166)	Data 0.001 (0.003)	Loss 6.4646 (6.6052)	
Epoch: [1][185/404]	Time 0.121 (0.166)	Data 0.001 (0.003)	Loss 6.3280 (6.6037)	
Epoch: [1][186/404]	Time 0.120 (0.166)	Data 0.001 (0.003)	Loss 6.4413 (6.6028)	
Epoch: [1][187/404]	Time 0.118 (0.165)	Data 0.001 (0.003)	Loss 6.3412 (6.6014)	
Epoch: [1][188/404]	Time 0.113 (0.165)	Data 0.001 (0.003)	Loss 6.5081 (6.6009)	
Epoch: [1][189/404]	Time 0.146 (0.165)	Data 0.001 (0.003)	Loss 6.3428 (6.5995)	
Epoch: [1][190/404]	Time 0.115 (0.165)	Data 0.001 (0.003)	Loss 6.2875 (6.5979)	
Epoch: [1][191/404]	Time 0.111 (0.165)	Data 0.001 (0.003)	Loss 6.3500 (6.5966)	
Epoch: [1][192/404]	Time 0.114 (0.164)	Data 0.001 (0.003)	Loss 6.5048 (6.5961)	
Epoch: [1][193/404]	Time 0.119 (0.164)	Data 0.001 (0.003)	Loss 6.3602 (6.5949)	
Epoch: [1][194/404]	Time 0.115 (0.164)	Data 0.001 (0.003)	Loss 6.3202 (6.5935)	
Epoch: [1][195/404]	Time 0.117 (0.164)	Data 0.002 (0.003)	Loss 6.4240 (6.5926)	
Epoch: [1][196/404]	Time 0.112 (0.163)	Data 0.001 (0.003)	Loss 6.2912 (6.5911)	
Epoch: [1][197/404]	Time 0.112 (0.163)	Data 0.001 (0.003)	Loss 6.2002 (6.5891)	
Epoch: [1][198/404]	Time 0.119 (0.163)	Data 0.001 (0.003)	Loss 6.1308 (6.5868)	
Epoch: [1][199/404]	Time 0.113 (0.163)	Data 0.001 (0.003)	Loss 6.1895 (6.5848)	
Epoch: [1][200/404]	Time 0.109 (0.162)	Data 0.001 (0.003)	Loss 6.6524 (6.5851)	
